NAME,SUB DISTRICT,DISTRICT,STATE,LEVEL,2001CensusCODE,LAT.,LNG.
Ud Pur,Kairana,Muzaffarnagar,Uttar Pradesh,Village,9.02E+14,29.604855,77.148532
Joy Pur,Chariduar,Sonitpur,Assam,Village,1.81E+15,26.916367,92.685218
Joy Pur,Bijni,Bongaigaon,Assam,Village,1.80E+15,26.606564,90.549171
Ali Pur,Baghbor,Barpeta,Assam,Village,1.81E+15,26.29341,90.923702
Raj Pur,Phuloni,Karbi Anglong,Assam,Village,1.82E+15,26.071226,93.095085
Nur pur,Nathnagar,Bhagalpur,Bihar,Village,1.02E+15,25.228093,86.922256
Raj Pur,Haveli,Punch,Jammu & Kashmir,Village,1.11E+14,33.765387,74.282207
Man Pur,Nowshehra,Rajauri,Jammu & Kashmir,Village,1.12E+14,33.064376,74.186679
Kol Pur,Samba,Jammu,Jammu & Kashmir,Village,1.13E+14,32.496974,74.99118
Aaj Pur,Bishna,Jammu,Jammu & Kashmir,Village,1.13E+14,32.457903,74.718215
Ram Pur,Hiranagar,Kathua,Jammu & Kashmir,Village,1.14E+14,32.354308,75.394207
Rai Pur,Potka,Purbi Singhbhum,Jharkhand,Village,2.02E+15,22.593582,86.197479
Kan pur,Patkura,Kendrapara,Orissa,Village,2.11E+15,20.433961,86.496265
Mir Pur,Fatehgarh Sahib,Fatehgarh Sahib,Punjab,Village,3.08E+14,30.563548,76.340236
Lad Pur,Bareilly,Bareilly,Uttar Pradesh,Village,9.20E+14,28.483582,79.50122
Ass Pur,Dataganj,Budaun,Uttar Pradesh,Village,9.19E+14,28.107235,79.473545
Rup Pur,Budaun,Budaun,Uttar Pradesh,Village,9.19E+14,27.980695,79.267127
Med Pur,Patiyali,Etah,Uttar Pradesh,Village,9.17E+14,27.587658,79.135372
Mir Pur,Sadabad,Hathras,Uttar Pradesh,Village,9.13E+14,27.463107,77.980396
Ram Pur,Sadabad,Hathras,Uttar Pradesh,Village,9.13E+14,27.456002,78.14859
Bag Pur,Sadabad,Hathras,Uttar Pradesh,Village,9.13E+14,27.405103,78.116271
Jaj Pur,Tundla,Firozabad,Uttar Pradesh,Village,9.16E+14,27.228341,78.272678
Ram Pur,Tundla,Firozabad,Uttar Pradesh,Village,9.16E+14,27.181476,78.294456
Bho Pur,Kiraoli,Agra,Uttar Pradesh,Village,9.15E+14,27.063192,77.593841
Jay Pur,Keshiary,Medinipur,West Bengal,Village,1.92E+15,22.088795,87.171154
Kan Pur,Keshiary,Medinipur,West Bengal,Village,1.92E+15,22.052326,87.265697
Lal Pur,Dantan I,Medinipur,West Bengal,Village,1.92E+15,21.981169,87.231555
Lam Pur,Narela,North West,Delhi,Village,7.01E+14,28.858303,77.063628
Ali Pur,Narela,North West,Delhi,Town,7.01E+14,28.804086,77.13243
Lad Pur,Saraswati Vihar,North West,Delhi,Village,7.01E+14,28.746676,76.995255
Isa Pur,Najafgarh,South West,Delhi,Village,7.08E+14,28.580812,76.869507
Sud Pura,Karnah,Kupwara,Jammu & Kashmir,Village,1.01E+14,34.290593,73.680564
Raj Pura,Bhalessa (Gandoh),Doda,Jammu & Kashmir,Village,1.09E+14,33.076749,75.770278
