Source;Target;Type;Weight
1;110;Undirected;10
2;37;Undirected;10
2;62;Undirected;10
3;153;Undirected;10
4;105;Undirected;10
5;133;Undirected;10
5;169;Undirected;10
6;218;Undirected;10
8;174;Undirected;10
8;178;Undirected;10
9;54;Undirected;10
10;106;Undirected;10
10;107;Undirected;10
10;129;Undirected;10
10;153;Undirected;10
11;9;Undirected;10
11;26;Undirected;10
11;62;Undirected;10
11;71;Undirected;10
11;106;Undirected;10
11;134;Undirected;10
11;224;Undirected;10
12;69;Undirected;10
12;79;Undirected;10
12;107;Undirected;10
12;192;Undirected;10
13;205;Undirected;10
14;180;Undirected;10
15;121;Undirected;10
15;160;Undirected;10
15;173;Undirected;10
19;131;Undirected;10
20;12;Undirected;10
20;113;Undirected;10
21;155;Undirected;10
22;37;Undirected;10
22;50;Undirected;10
22;110;Undirected;10
22;112;Undirected;10
23;78;Undirected;10
23;105;Undirected;10
23;107;Undirected;10
23;165;Undirected;10
25;45;Undirected;10
25;46;Undirected;10
26;70;Undirected;10
28;42;Undirected;10
28;99;Undirected;10
28;137;Undirected;10
28;204;Undirected;10
29;121;Undirected;10
31;12;Undirected;10
31;23;Undirected;10
31;169;Undirected;10
31;170;Undirected;10
32;64;Undirected;10
35;46;Undirected;10
35;62;Undirected;10
36;38;Undirected;10
36;70;Undirected;10
36;104;Undirected;10
36;112;Undirected;10
37;85;Undirected;10
37;124;Undirected;10
38;19;Undirected;10
38;79;Undirected;10
38;88;Undirected;10
38;102;Undirected;10
38;158;Undirected;10
38;182;Undirected;10
38;198;Undirected;10
38;214;Undirected;10
39;7;Undirected;10
39;85;Undirected;10
42;1;Undirected;10
42;3;Undirected;10
42;5;Undirected;10
42;10;Undirected;10
42;11;Undirected;10
42;12;Undirected;10
42;20;Undirected;10
42;23;Undirected;10
42;26;Undirected;10
42;29;Undirected;10
42;31;Undirected;10
42;32;Undirected;10
42;36;Undirected;10
42;50;Undirected;10
42;78;Undirected;10
42;132;Undirected;10
42;133;Undirected;10
42;194;Undirected;10
42;215;Undirected;10
42;224;Undirected;10
42;227;Undirected;10
43;19;Undirected;10
44;12;Undirected;10
44;155;Undirected;10
45;22;Undirected;10
45;42;Undirected;10
45;72;Undirected;10
45;78;Undirected;10
45;132;Undirected;10
46;26;Undirected;10
46;42;Undirected;10
46;44;Undirected;10
46;84;Undirected;10
46;124;Undirected;10
46;133;Undirected;10
46;181;Undirected;10
48;19;Undirected;10
49;12;Undirected;10
49;36;Undirected;10
49;42;Undirected;10
49;206;Undirected;10
50;71;Undirected;10
50;139;Undirected;10
50;158;Undirected;10
50;177;Undirected;10
50;183;Undirected;10
51;1;Undirected;10
51;2;Undirected;10
51;3;Undirected;10
51;4;Undirected;10
51;7;Undirected;10
51;9;Undirected;10
51;10;Undirected;10
51;11;Undirected;10
51;12;Undirected;10
51;13;Undirected;10
51;20;Undirected;10
51;21;Undirected;10
51;23;Undirected;10
51;26;Undirected;10
51;28;Undirected;10
51;29;Undirected;10
51;31;Undirected;10
51;32;Undirected;10
51;33;Undirected;10
51;34;Undirected;10
51;35;Undirected;10
51;36;Undirected;10
51;37;Undirected;10
51;38;Undirected;10
51;39;Undirected;10
51;42;Undirected;10
51;45;Undirected;10
51;46;Undirected;10
51;49;Undirected;10
51;50;Undirected;10
52;27;Undirected;10
54;38;Undirected;10
54;49;Undirected;10
54;51;Undirected;10
54;119;Undirected;10
54;153;Undirected;10
54;173;Undirected;10
54;190;Undirected;10
54;227;Undirected;10
56;38;Undirected;10
56;70;Undirected;10
56;106;Undirected;10
57;193;Undirected;10
58;51;Undirected;10
59;51;Undirected;10
60;20;Undirected;10
60;22;Undirected;10
60;51;Undirected;10
60;147;Undirected;10
60;181;Undirected;10
62;31;Undirected;10
62;42;Undirected;10
62;51;Undirected;10
62;71;Undirected;10
62;85;Undirected;10
62;146;Undirected;10
63;41;Undirected;10
64;25;Undirected;10
66;28;Undirected;10
66;49;Undirected;10
66;51;Undirected;10
66;207;Undirected;10
69;18;Undirected;10
69;51;Undirected;10
69;66;Undirected;10
69;107;Undirected;10
70;42;Undirected;10
70;51;Undirected;10
70;88;Undirected;10
70;93;Undirected;10
70;120;Undirected;10
70;126;Undirected;10
70;169;Undirected;10
70;204;Undirected;10
70;214;Undirected;10
71;5;Undirected;10
71;10;Undirected;10
71;12;Undirected;10
71;20;Undirected;10
71;23;Undirected;10
71;38;Undirected;10
71;42;Undirected;10
71;44;Undirected;10
71;45;Undirected;10
71;49;Undirected;10
71;51;Undirected;10
71;57;Undirected;10
71;60;Undirected;10
71;66;Undirected;10
71;70;Undirected;10
71;78;Undirected;10
71;87;Undirected;10
71;134;Undirected;10
71;173;Undirected;10
71;199;Undirected;10
71;212;Undirected;10
72;135;Undirected;10
73;38;Undirected;10
73;52;Undirected;10
73;81;Undirected;10
73;94;Undirected;10
74;51;Undirected;10
75;51;Undirected;10
75;173;Undirected;10
75;186;Undirected;10
76;42;Undirected;10
76;50;Undirected;10
76;51;Undirected;10
76;78;Undirected;10
76;121;Undirected;10
76;129;Undirected;10
76;182;Undirected;10
77;23;Undirected;10
78;10;Undirected;10
78;51;Undirected;10
78;75;Undirected;10
78;112;Undirected;10
78;126;Undirected;10
79;71;Undirected;10
79;85;Undirected;10
80;45;Undirected;10
80;51;Undirected;10
81;1;Undirected;10
81;2;Undirected;10
81;3;Undirected;10
81;5;Undirected;10
81;6;Undirected;10
81;9;Undirected;10
81;10;Undirected;10
81;11;Undirected;10
81;12;Undirected;10
81;15;Undirected;10
81;19;Undirected;10
81;20;Undirected;10
81;21;Undirected;10
81;23;Undirected;10
